"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\tyler\projects\tank-game\Assets\Scripts\AI\BomberAI.cs", "C#", 10, 2, 5, 17
"c:\Users\tyler\projects\tank-game\Assets\Scripts\AI\EnemyAI.cs", "C#", 71, 1, 23, 95
"c:\Users\tyler\projects\tank-game\Assets\Scripts\AI\HelicopterAI.cs", "C#", 119, 1, 39, 159
"c:\Users\tyler\projects\tank-game\Assets\Scripts\AI\WarshipAI.cs", "C#", 8, 1, 2, 11
"c:\Users\tyler\projects\tank-game\Assets\Scripts\CameraController.cs", "C#", 52, 2, 18, 72
"c:\Users\tyler\projects\tank-game\Assets\Scripts\Events.cs", "C#", 7, 0, 3, 10
"c:\Users\tyler\projects\tank-game\Assets\Scripts\GameManager.cs", "C#", 68, 2, 22, 92
"c:\Users\tyler\projects\tank-game\Assets\Scripts\HealthComponent.cs", "C#", 57, 0, 13, 70
"c:\Users\tyler\projects\tank-game\Assets\Scripts\LevelManager.cs", "C#", 133, 0, 23, 156
"c:\Users\tyler\projects\tank-game\Assets\Scripts\PlayerController.cs", "C#", 67, 2, 23, 92
"c:\Users\tyler\projects\tank-game\Assets\Scripts\Projectile.cs", "C#", 79, 2, 26, 107
"c:\Users\tyler\projects\tank-game\Assets\Scripts\Spawner.cs", "C#", 72, 2, 29, 103
"c:\Users\tyler\projects\tank-game\Assets\Scripts\StatBar.cs", "C#", 38, 1, 11, 50
"c:\Users\tyler\projects\tank-game\Assets\Scripts\Suspension.cs", "C#", 84, 4, 20, 108
"c:\Users\tyler\projects\tank-game\Assets\Scripts\Tank.cs", "C#", 153, 3, 45, 201
"c:\Users\tyler\projects\tank-game\Assets\Scripts\UIManager.cs", "C#", 64, 0, 14, 78
"c:\Users\tyler\projects\tank-game\Assets\Scripts\VehicleUpgrade.cs", "C#", 13, 0, 4, 17
"c:\Users\tyler\projects\tank-game\Assets\Scripts\WeaponUpgrade.cs", "C#", 17, 0, 8, 25
"Total", "-", 1112, 23, 328, 1463
